URL,Journal_Title,Article_Title,Volume_Issue,Month_Year,Abstract,Keywords,Author_name,Author_email,Author_Address
https://misq.umn.edu/misq/article/34/1/1/488/Information-Systems-Innovation-for-Environmental,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Melville, Nigel P.",N/A,N/A
https://misq.umn.edu/misq/article/34/1/23/490/Information-Systems-and-Environmentally,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Watson, Richard T.",N/A,N/A
https://misq.umn.edu/misq/article/34/1/23/490/Information-Systems-and-Environmentally,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Boudreau, Marie-Claude",N/A,N/A
https://misq.umn.edu/misq/article/34/1/23/490/Information-Systems-and-Environmentally,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Chen, Adela J.",N/A,N/A
https://misq.umn.edu/misq/article/34/1/39/482/An-Empirical-Analysis-of-the-Impact-of-Information,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Mani, Deepa",N/A,N/A
https://misq.umn.edu/misq/article/34/1/39/482/An-Empirical-Analysis-of-the-Impact-of-Information,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Barua, Anitesh",N/A,N/A
https://misq.umn.edu/misq/article/34/1/39/482/An-Empirical-Analysis-of-the-Impact-of-Information,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Whinston, Andrew",N/A,N/A
https://misq.umn.edu/misq/article/34/1/63/484/Chasing-the-Hottest-IT-Effects-of-Information,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Wang, Ping",N/A,N/A
https://misq.umn.edu/misq/article/34/1/87/494/Toward-Agile-An-Integrated-Analysis-of,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Lee, Gwanhoo",N/A,N/A
https://misq.umn.edu/misq/article/34/1/87/494/Toward-Agile-An-Integrated-Analysis-of,MIS Quarterly,N/A,"Vol 34, Issue 1",2010,N/A,N/A,"Xia, Weidong",N/A,N/A
